Date,Adj Close
2014-05-19,4469.76
2014-05-16,4456.28
2014-05-15,4444.93
2014-05-14,4501.04
2014-05-13,4505.02
2014-05-12,4493.65
2014-05-09,4477.28
2014-05-08,4507.24
2014-05-07,4446.44
2014-05-06,4428.07
2014-05-05,4462.69
2014-05-02,4458.17
2014-04-30,4487.39
2014-04-29,4497.68
2014-04-28,4460.53
2014-04-25,4443.63
2014-04-24,4479.54
2014-04-23,4451.08
2014-04-22,4484.21
2014-04-17,4431.81
2014-04-16,4405.66
2014-04-15,4345.35
2014-04-14,4384.56
2014-04-11,4365.86
2014-04-10,4413.49
2014-04-09,4442.68
2014-04-08,4424.83
2014-04-07,4436.08
2014-04-04,4484.55
2014-04-03,4449.33
2014-04-02,4430.86
2014-04-01,4426.72
2014-03-31,4391.50
2014-03-28,4411.26
2014-03-27,4379.06
2014-03-26,4385.15
2014-03-25,4344.12
2014-03-24,4276.34
2014-03-21,4335.28
2014-03-20,4327.91
2014-03-19,4308.06
2014-03-18,4313.26
2014-03-17,4271.96
2014-03-14,4216.37
2014-03-13,4250.51
2014-03-12,4306.26
2014-03-11,4349.72
2014-03-10,4370.84
2014-03-07,4366.42
2014-03-06,4417.04
2014-03-05,4391.25
2014-03-04,4395.90
2014-03-03,4290.87
2014-02-28,4408.08
2014-02-27,4396.39
2014-02-26,4396.91
2014-02-25,4414.55
2014-02-24,4419.13
2014-02-21,4381.06
2014-02-20,4355.49
2014-02-19,4341.10
2014-02-18,4330.71
2014-02-17,4335.17
2014-02-14,4340.14
2014-02-13,4312.80
2014-02-12,4305.50
2014-02-11,4283.32
2014-02-10,4237.13
2014-02-07,4228.18
2014-02-06,4188.10
2014-02-05,4117.79
2014-02-04,4117.45
2014-02-03,4107.75
2014-01-31,4165.72
2014-01-30,4180.02
2014-01-29,4156.98
2014-01-28,4185.29
2014-01-27,4144.56
2014-01-24,4161.47
2014-01-23,4280.96
2014-01-22,4324.98
2014-01-21,4323.87
2014-01-20,4322.86
2014-01-17,4327.50
2014-01-16,4319.27
2014-01-15,4332.07
2014-01-14,4274.20
2014-01-13,4263.27
2014-01-10,4250.60
2014-01-09,4225.14
2014-01-08,4260.96
2014-01-07,4262.68
2014-01-06,4227.54
2014-01-03,4247.65
2014-01-02,4227.28
2013-12-31,4295.95
2013-12-30,4275.71
2013-12-27,4277.65
2013-12-24,4218.41
2013-12-23,4215.29
2013-12-20,4193.77
2013-12-19,4154.27
2013-12-18,4109.51
2013-12-17,4068.64
2013-12-16,4119.88
2013-12-13,4059.71
2013-12-12,4069.12
2013-12-11,4086.86
2013-12-10,4091.14
2013-12-09,4134.10
2013-12-06,4129.37
2013-12-05,4099.91
2013-12-04,4148.52
2013-12-03,4172.44
2013-12-02,4285.81
2013-11-29,4295.21
2013-11-28,4302.42
2013-11-27,4293.06
2013-11-26,4277.57
2013-11-25,4301.97
2013-11-22,4278.53
2013-11-21,4253.90
2013-11-20,4268.37
2013-11-19,4272.29
2013-11-18,4320.68
2013-11-15,4292.23
2013-11-14,4283.91
2013-11-13,4239.94
2013-11-12,4263.78
2013-11-11,4290.14
2013-11-08,4260.44
2013-11-07,4280.99
2013-11-06,4286.93
2013-11-05,4253.34
2013-11-04,4288.59
2013-11-01,4273.19
2013-10-31,4299.89
2013-10-30,4274.11
2013-10-29,4278.09
2013-10-28,4251.61
2013-10-25,4272.31
2013-10-24,4275.69
2013-10-23,4260.66
2013-10-22,4295.43
2013-10-21,4276.92
2013-10-18,4286.03
2013-10-17,4239.64
2013-10-16,4243.72
2013-10-15,4256.02
2013-10-14,4222.96
2013-10-11,4219.98
2013-10-10,4218.11
2013-10-09,4127.05
2013-10-08,4133.53
2013-10-07,4165.58
2013-10-04,4164.25
2013-10-03,4127.98
2013-10-02,4158.16
2013-10-01,4196.60
2013-09-30,4143.44
2013-09-27,4186.77
2013-09-26,4186.72
2013-09-25,4195.35
2013-09-24,4195.61
2013-09-23,4172.08
2013-09-20,4203.66
2013-09-19,4206.04
2013-09-18,4170.40
2013-09-17,4145.51
2013-09-16,4152.22
2013-09-13,4114.50
2013-09-12,4106.63
2013-09-11,4119.11
2013-09-10,4116.64
2013-09-09,4040.33
2013-09-06,4049.19
2013-09-05,4006.80
2013-09-04,3980.42
2013-09-03,3974.07
2013-09-02,4006.01
2013-08-30,3933.78
2013-08-29,3986.35
2013-08-28,3960.46
2013-08-27,3968.73
2013-08-26,4067.13
2013-08-23,4069.47
2013-08-22,4059.12
2013-08-21,4015.09
2013-08-20,4028.93
2013-08-19,4083.98
2013-08-16,4123.89
2013-08-15,4093.20
2013-08-14,4114.20
2013-08-13,4092.50
2013-08-12,4071.68
2013-08-09,4076.55
2013-08-08,4064.32
2013-08-07,4038.49
2013-08-06,4032.57
2013-08-05,4049.97
2013-08-02,4045.65
2013-08-01,4042.73
2013-07-31,3992.69
2013-07-30,3986.61
2013-07-29,3968.91
2013-07-26,3968.84
2013-07-25,3956.02
2013-07-24,3962.75
2013-07-23,3923.09
2013-07-22,3939.92
2013-07-19,3925.32
2013-07-18,3927.79
2013-07-17,3872.02
2013-07-16,3851.03
2013-07-15,3878.58
2013-07-12,3855.09
2013-07-11,3868.98
2013-07-10,3840.53
2013-07-09,3843.56
2013-07-08,3823.83
2013-07-05,3753.85
2013-07-04,3809.31
2013-07-03,3702.01
2013-07-02,3742.57
2013-07-01,3767.48
2013-06-28,3738.91
2013-06-27,3762.19
2013-06-26,3726.04
2013-06-25,3649.82
2013-06-24,3595.63
2013-06-21,3658.04
2013-06-20,3698.93
2013-06-19,3839.34
2013-06-18,3860.55
2013-06-17,3863.66
2013-06-14,3805.16
2013-06-13,3797.98
2013-06-12,3793.70
2013-06-11,3810.56
2013-06-10,3864.36
2013-06-07,3872.59
2013-06-06,3814.28
2013-06-05,3852.44
2013-06-04,3925.83
2013-06-03,3920.67
2013-05-31,3948.59
2013-05-30,3996.31
2013-05-29,3974.12
2013-05-28,4050.56
2013-05-27,3995.16
2013-05-24,3956.79
2013-05-23,3967.15
2013-05-22,4051.11
2013-05-21,4036.18
2013-05-20,4022.85
2013-05-17,4001.27
2013-05-16,3979.07
2013-05-15,3982.23
2013-05-14,3966.06
2013-05-13,3945.20
2013-05-10,3953.83
2013-05-09,3928.58
2013-05-08,3956.28
2013-05-07,3921.32
2013-05-06,3907.04
2013-05-03,3912.95
2013-05-02,3858.76
2013-04-30,3856.75
2013-04-29,3868.68
2013-04-26,3810.05
2013-04-25,3840.47
2013-04-24,3842.94
2013-04-23,3783.05
2013-04-22,3652.13
2013-04-19,3651.96
2013-04-18,3599.36
2013-04-17,3599.23
2013-04-16,3685.79
2013-04-15,3710.48
2013-04-12,3729.30
2013-04-11,3775.66
2013-04-10,3743.71
2013-04-09,3670.72
2013-04-08,3666.78
2013-04-05,3663.48
2013-04-04,3726.16
2013-04-03,3754.96
2013-04-02,3805.37
2013-03-28,3731.42
2013-03-27,3711.64
2013-03-26,3748.64
2013-03-25,3727.98
2013-03-22,3770.29
2013-03-21,3774.85
2013-03-20,3829.56
2013-03-19,3775.75
2013-03-18,3825.47
2013-03-15,3844.03
2013-03-14,3871.58
2013-03-13,3836.04
2013-03-12,3839.97
2013-03-11,3836.27
2013-03-08,3840.15
2013-03-07,3793.78
2013-03-06,3773.76
2013-03-05,3787.19
2013-03-04,3709.76
2013-03-01,3699.91
2013-02-28,3723.00
2013-02-27,3691.49
2013-02-26,3621.92
2013-02-25,3721.33
2013-02-22,3706.28
2013-02-21,3624.80
2013-02-20,3709.88
2013-02-19,3735.82
2013-02-18,3667.04
2013-02-15,3660.37
2013-02-14,3669.60
2013-02-13,3698.53
2013-02-12,3686.58
2013-02-11,3650.58
2013-02-08,3649.50
2013-02-07,3601.05
2013-02-06,3642.90
2013-02-05,3694.70
2013-02-04,3659.91
2013-02-01,3773.53
2013-01-31,3732.60
2013-01-30,3765.52
2013-01-29,3785.82
2013-01-28,3780.89
2013-01-25,3778.16
2013-01-24,3752.17
2013-01-23,3726.17
2013-01-22,3741.01
2013-01-21,3763.03
2013-01-18,3741.58
2013-01-17,3744.11
2013-01-16,3708.49
2013-01-15,3697.35
2013-01-14,3708.25
2013-01-11,3706.02
2013-01-10,3703.12
2013-01-09,3717.45
2013-01-08,3705.88
2013-01-07,3704.64
2013-01-04,3730.02
2013-01-03,3721.17
2013-01-02,3733.93
2012-12-31,3641.07
2012-12-28,3620.25
2012-12-27,3674.26
2012-12-24,3652.61
2012-12-21,3661.40
2012-12-20,3666.73
2012-12-19,3664.59
2012-12-18,3648.63
2012-12-17,3638.10
2012-12-14,3643.28
2012-12-13,3643.13
2012-12-12,3646.66
2012-12-11,3646.15
2012-12-10,3612.10
2012-12-07,3605.61
2012-12-06,3601.65
2012-12-05,3590.50
2012-12-04,3580.48
2012-12-03,3566.59
2012-11-30,3557.28
2012-11-29,3568.88
2012-11-28,3515.19
2012-11-27,3502.13
2012-11-26,3500.94
2012-11-23,3528.80
2012-11-22,3498.22
2012-11-21,3477.36
2012-11-20,3462.06
2012-11-19,3439.58
2012-11-16,3341.52
2012-11-15,3382.40
2012-11-14,3400.02
2012-11-13,3430.60
2012-11-12,3411.65
2012-11-09,3423.57
2012-11-08,3407.68
